id,hub,zcta,state,latitude,longitude,predicted_pressure,predicted_risk,owner_households,renter_households,owner_yoy_pct,renter_yoy_pct,housing_units_yoy_pct,median_rent_usd
04017-2024,ZCTA 04017,4017,US,43.73532,-70.081008,100.48120168362186,OK,187,78,-6.97,-21.21,-9.77,2063.0
21797-2024,ZCTA 21797,21797,US,39.331175,-77.068606,100.46959541414438,OK,2612,237,-1.02,-20.2,-3.43,1535.0
07423-2024,ZCTA 07423,7423,US,40.9995,-74.096583,100.46942837985799,OK,1266,102,-2.39,-20.31,-2.09,2857.0
50247-2024,ZCTA 50247,50247,US,42.01809,-93.166386,100.4673161735754,OK,711,134,1.57,-28.72,-4.87,795.0
71835-2024,ZCTA 71835,71835,US,33.675464,-93.451161,100.46534347399916,OK,410,37,-1.68,-11.9,-6.31,655.0
31733-2024,ZCTA 31733,31733,US,31.59319,-83.489763,100.46248556296747,OK,460,77,6.73,-32.46,7.81,1033.0
21658-2024,ZCTA 21658,21658,US,38.944268,-76.143938,100.46112109966192,OK,1272,132,-1.24,-17.5,-4.38,1750.0
53146-2024,ZCTA 53146,53146,US,42.973705,-88.155385,100.45983301863828,OK,2873,106,-2.38,-10.17,-1.07,1263.0
17223-2024,ZCTA 17223,17223,US,40.064649,-77.941989,100.45934381216904,OK,136,29,17.24,-39.58,-6.15,563.0
80615-2024,ZCTA 80615,80615,US,40.545658,-104.645698,100.45269021542381,OK,3208,194,-2.96,-14.54,-4.64,1560.0
47615-2024,ZCTA 47615,47615,US,37.970761,-86.952275,100.45120067416585,OK,607,82,5.93,-28.07,0.0,856.0
68932-2024,ZCTA 68932,68932,US,40.303716,-98.739803,100.42451170610947,OK,128,17,4.92,-22.73,-2.55,938.0
26707-2024,ZCTA 26707,26707,US,39.2088,-79.402816,100.40447099117293,OK,121,19,-5.47,-17.39,-7.78,690.0
49840-2024,ZCTA 49840,49840,US,46.174564,-86.054633,100.396947781904,OK,319,23,-4.78,-8.0,-2.55,1167.0
79201-2024,ZCTA 79201,79201,US,34.404718,-100.341146,100.38171502888814,OK,1344,533,-4.88,-32.7,-5.42,913.0
26801-2024,ZCTA 26801,26801,US,39.059339,-78.794453,100.37224157852623,OK,496,70,22.17,-34.58,7.79,779.0
05152-2024,ZCTA 05152,5152,US,43.233239,-72.939339,100.36718370810556,OK,139,35,8.59,-20.45,-2.68,1271.0
73442-2024,ZCTA 73442,73442,US,34.323029,-97.689263,100.35581867736393,OK,93,16,-15.45,-11.11,-5.39,767.0
65257-2024,ZCTA 65257,65257,US,39.287088,-92.533807,100.35461258747293,OK,438,73,-9.69,-15.12,-9.24,729.0
04265-2024,ZCTA 04265,4265,US,44.280563,-70.037314,100.35225826801667,OK,272,35,-8.42,-14.63,-14.55,1408.0
67035-2024,ZCTA 67035,67035,US,37.648184,-98.394963,100.35023651399217,OK,283,50,5.6,-28.57,-2.42,621.0
37080-2024,ZCTA 37080,37080,US,36.332761,-86.916886,100.34099365530706,OK,2699,357,3.97,-26.99,-0.45,1050.0
28624-2024,ZCTA 28624,28624,US,36.119696,-81.413245,100.33155415689282,OK,496,119,13.24,-37.7,-0.37,436.0
47244-2024,ZCTA 47244,47244,US,39.217948,-85.70237,100.33098454999687,OK,190,16,-5.94,-11.11,-6.44,972.0
34269-2024,ZCTA 34269,34269,US,27.089943,-81.96148,100.32733551426361,OK,2096,158,-0.76,-13.66,-2.27,1031.0
56548-2024,ZCTA 56548,56548,US,47.368272,-96.745362,100.32657086955616,OK,211,38,-12.08,-15.56,-8.16,679.0
55327-2024,ZCTA 55327,55327,US,45.204315,-93.468761,100.31858926619448,OK,2150,105,5.55,-18.6,3.88,1313.0
