id,hub,zcta,state,latitude,longitude,risk,volume,demand_index,owner_households,renter_households,owner_share_pct,renter_share_pct,owner_yoy_pct,renter_yoy_pct,housing_units_yoy_pct,median_rent_usd,source
35033-2024,ZCTA 35033,35033,US,33.921678,-87.010585,STOCKOUT_RISK,78,180.21,1286,254,70.47,13.92,2.31,133.03,7.73,1142.0,ACS DP04 + ACS5 (national)
12491-2024,ZCTA 12491,12491,US,41.965192,-74.141459,STOCKOUT_RISK,40,179.69,773,61,80.69,6.37,-1.78,134.62,2.46,2038.0,ACS DP04 + ACS5 (national)
16871-2024,ZCTA 16871,16871,US,41.191089,-78.035921,STOCKOUT_RISK,40,179.51,11,17,9.09,14.05,83.33,88.89,-9.02,538.0,ACS DP04 + ACS5 (national)
50592-2024,ZCTA 50592,50592,US,42.729257,-95.183407,STOCKOUT_RISK,40,179.42,33,43,41.25,53.75,26.92,86.96,60.0,1102.0,ACS DP04 + ACS5 (national)
57763-2024,ZCTA 57763,57763,US,43.123511,-103.251157,STOCKOUT_RISK,40,179.39,141,41,69.8,20.3,2.17,127.78,16.09,953.0,ACS DP04 + ACS5 (national)
71354-2024,ZCTA 71354,71354,US,31.404457,-91.750053,STOCKOUT_RISK,40,179.32,366,88,54.14,13.02,-5.18,137.84,4.32,1099.0,ACS DP04 + ACS5 (national)
16750-2024,ZCTA 16750,16750,US,41.901571,-78.291724,STOCKOUT_RISK,40,179.2,225,23,74.5,7.62,5.63,130.0,13.96,777.0,ACS DP04 + ACS5 (national)
76474-2024,ZCTA 76474,76474,US,31.958671,-98.775052,STOCKOUT_RISK,40,179.11,148,13,78.31,6.88,25.42,116.67,19.62,483.0,ACS DP04 + ACS5 (national)
39425-2024,ZCTA 39425,39425,US,31.069402,-89.060504,STOCKOUT_RISK,40,178.91,557,74,63.01,8.37,-22.96,155.17,-4.23,531.0,ACS DP04 + ACS5 (national)
50116-2024,ZCTA 50116,50116,US,41.178106,-92.982479,STOCKOUT_RISK,40,178.58,90,12,81.08,10.81,32.35,100.0,42.31,950.0,ACS DP04 + ACS5 (national)
05837-2024,ZCTA 05837,05837,US,44.663758,-71.80518,STOCKOUT_RISK,40,178.57,123,31,45.05,11.36,-10.87,138.46,2.63,1712.0,ACS DP04 + ACS5 (national)
64620-2024,ZCTA 64620,64620,US,39.894531,-94.089951,STOCKOUT_RISK,40,178.53,179,30,53.43,8.96,4.07,130.77,10.93,725.0,ACS DP04 + ACS5 (national)
45433-2024,ZCTA 45433,45433,US,39.822834,-84.048504,STOCKOUT_RISK,40,178.38,11,415,2.39,90.02,175.0,0.97,2.9,1422.0,ACS DP04 + ACS5 (national)
63386-2024,ZCTA 63386,63386,US,38.870205,-90.219539,STOCKOUT_RISK,40,178.24,137,22,61.43,9.87,-14.37,144.44,-4.29,1375.0,ACS DP04 + ACS5 (national)
58047-2024,ZCTA 58047,58047,US,46.713528,-96.872858,STOCKOUT_RISK,86,177.49,1876,92,91.92,4.51,10.68,119.05,12.45,2146.0,ACS DP04 + ACS5 (national)
15313-2024,ZCTA 15313,15313,US,40.063248,-80.029391,STOCKOUT_RISK,40,177.48,160,16,77.29,7.73,3.23,128.57,7.25,1292.0,ACS DP04 + ACS5 (national)
45711-2024,ZCTA 45711,45711,US,39.428321,-81.931975,STOCKOUT_RISK,40,177.41,360,60,71.29,11.88,-0.55,130.77,6.77,1111.0,ACS DP04 + ACS5 (national)
38036-2024,ZCTA 38036,38036,US,35.327248,-89.619386,STOCKOUT_RISK,40,177.41,32,22,54.24,37.29,113.33,37.5,51.28,686.0,ACS DP04 + ACS5 (national)
31836-2024,ZCTA 31836,31836,US,32.796402,-84.53509,STOCKOUT_RISK,40,177.38,340,86,61.37,15.52,-4.23,138.89,-6.73,683.0,ACS DP04 + ACS5 (national)
